mode,price,catchrate,d.beach,d.pier,d.private,d.charter,price.beach,price.pier,price.private,price.charter,catch.beach,catch.pier,catch.private,catch.charter,income,mode1
pier,50.32,0.0451,0,1,0,0,50.32,50.32,49.062,73.062,0.1049,0.0451,0.1574,0.4671,4.583332,2
private,74.32,0.0897,0,0,1,0,72.462,72.462,74.32,109.32,0.0678,0.0789,0.0897,1.0905,7.083332,3
charter,45.534,0.0058,0,0,0,1,70.074,70.074,10.534,45.534,0.5333,0.4522,0.0156,0.0058,1.25,4
charter,54.734,0.0058,0,0,0,1,131.274,131.274,19.734,54.734,0.5333,0.4522,0.0156,0.0058,2.916667,4
charter,43.734,0.0046,0,0,0,1,28.314,28.314,19.734,43.734,0.1049,0.0451,0.0023,0.0046,2.916667,4
charter,35.322,0.3087,0,0,0,1,49.062,49.062,11.322,35.322,0.1049,0.0079,0.0613,0.3087,4.583332,4
private,7.722,0.0023,0,0,1,0,33.462,33.462,7.722,31.722,0.1049,0.0451,0.0023,0.0046,2.916667,3
beach,9.522,0.0678,1,0,0,0,9.522,9.522,78.292,107.292,0.0678,0.0789,0.0014,0.0029,3.75,1
pier,25.662,0.0079,0,1,0,0,25.662,25.662,5.922,29.922,0.1049,0.0079,0.0613,0.3087,2.083333,2
charter,42.722,0.4216,0,0,0,1,144.144,144.144,7.722,42.722,0.5333,0.0069,0.0361,0.4216,2.916667,4
pier,120.004,0.0789,0,1,0,0,120.004,120.004,252.64,281.64,0.0678,0.0789,0.0014,0.0029,12.5,2
private,80.608,0.0531,0,0,1,0,25.648,25.648,80.608,105.608,0.2537,0.1498,0.0531,0.0052,1.25,3
charter,60.004,0.0058,0,0,0,1,115.808,115.808,25.004,60.004,0.5333,0.4522,0.0156,0.0058,2.083333,4
pier,32.604,0.0789,0,1,0,0,32.604,32.604,68.64,97.64,0.0678,0.0789,0.1643,0.5391,2.916667,2
private,46.332,0.1643,0,0,1,0,10.296,10.296,46.332,75.332,0.0678,0.0789,0.1643,0.5391,2.916667,3
charter,89.912,1.0905,0,0,0,1,10.296,10.296,54.912,89.912,0.0678,0.0789,0.0897,1.0905,2.916667,4
private,15.096,0.2413,0,0,1,0,231.472,231.472,15.096,50.096,0.5333,0.4522,0.2413,1.0266,4.583332,3
charter,211.208,2.3101,0,0,0,1,59.248,59.248,186.208,211.208,0.2537,0.1498,0.7369,2.3101,3.75,4
charter,50.096,1.0266,0,0,0,1,231.472,231.472,15.096,50.096,0.5333,0.4522,0.2413,1.0266,4.583332,4
pier,19.896,0.0789,0,1,0,0,19.896,19.896,89.532,118.532,0.0678,0.0789,0.0014,0.0029,6.250001,2
charter,57.296,1.0266,0,0,0,1,341.872,341.872,22.296,57.296,0.5333,0.4522,0.2413,1.0266,7.083332,4
charter,52.404,1.0266,0,0,0,1,80.608,80.608,17.404,52.404,0.5333,0.4522,0.2413,1.0266,1.25,4
beach,24.334,0.0678,1,0,0,0,24.334,24.334,89.93,118.93,0.0678,0.0789,0.1643,0.5391,3.75,1
beach,11.322,0.0678,1,0,0,0,11.322,11.322,93.092,122.092,0.0678,0.0789,0.1643,0.5391,4.583332,1
charter,44.522,0.0058,0,0,0,1,177.744,177.744,9.522,44.522,0.5333,0.4522,0.0156,0.0058,3.75,4
pier,5.922,0.0789,0,1,0,0,5.922,5.922,48.692,77.692,0.0678,0.0789,0.1643,0.5391,2.083333,2
private,9.522,0.2413,0,0,1,0,177.744,177.744,9.522,44.522,0.5333,0.4522,0.2413,1.0266,3.75,3
private,10.534,0.0361,0,0,1,0,70.074,70.074,10.534,45.534,0.5333,0.0069,0.0361,0.4216,1.25,3
charter,52.934,0.3087,0,0,0,1,41.514,41.514,28.934,52.934,0.1049,0.0079,0.0613,0.3087,4.583332,4
charter,39.134,0.0046,0,0,0,1,21.714,21.714,15.134,39.134,0.1049,0.0451,0.0023,0.0046,2.083333,4
charter,42.722,0.0058,0,0,0,1,144.144,144.144,7.722,42.722,0.5333,0.4522,0.0156,0.0058,2.916667,4
private,5.922,0.0613,0,0,1,0,25.662,25.662,5.922,29.922,0.1049,0.0079,0.0613,0.3087,2.083333,3
private,13.122,0.0156,0,0,1,0,244.944,244.944,13.122,48.122,0.5333,0.4522,0.0156,0.0058,5.416667,3
charter,42.722,1.0266,0,0,0,1,144.144,144.144,7.722,42.722,0.5333,0.4522,0.2413,1.0266,2.916667,4
pier,5.922,0.0789,0,1,0,0,5.922,5.922,48.692,77.692,0.0678,0.0789,0.0014,0.0029,2.083333,2
pier,93.092,0.0503,0,1,0,0,93.092,93.092,93.092,118.092,0.0678,0.0503,0.2601,0.5391,4.583332,2
charter,44.522,0.4216,0,0,0,1,177.744,177.744,9.522,44.522,0.5333,0.0069,0.0361,0.4216,3.75,4
private,9.522,0.1574,0,0,1,0,41.262,41.262,9.522,33.522,0.1049,0.0451,0.1574,0.4671,3.75,3
pier,9.522,0.0789,0,1,0,0,9.522,9.522,78.292,107.292,0.0678,0.0789,0.1643,0.5391,3.75,2
charter,39.122,1.0266,0,0,0,1,76.944,76.944,4.122,39.122,0.5333,0.4522,0.2413,1.0266,1.25,4
private,9.522,0.2413,0,0,1,0,177.744,177.744,9.522,44.522,0.5333,0.4522,0.2413,1.0266,3.75,3
charter,44.522,0.3975,0,0,0,1,177.744,177.744,9.522,44.522,0.5333,0.4522,0.1665,0.3975,3.75,4
private,13.122,0.2413,0,0,1,0,244.944,244.944,13.122,48.122,0.5333,0.4522,0.2413,1.0266,5.416667,3
pier,33.462,0.0451,0,1,0,0,33.462,33.462,7.722,31.722,0.1049,0.0451,0.1574,0.4671,2.916667,2
private,7.722,0.0023,0,0,1,0,33.462,33.462,7.722,31.722,0.1049,0.0451,0.0023,0.0046,2.916667,3
charter,60.662,0.0209,0,0,0,1,5.922,5.922,25.662,60.662,0.0678,0.0789,0.0102,0.0209,2.083333,4
charter,53.522,0.3975,0,0,0,1,345.744,345.744,18.522,53.522,0.5333,0.4522,0.1665,0.3975,7.916667,4
private,13.122,0.0361,0,0,1,0,244.944,244.944,13.122,48.122,0.5333,0.0069,0.0361,0.4216,5.416667,3
private,14.922,0.0023,0,0,1,0,64.662,64.662,14.922,38.922,0.1049,0.0451,0.0023,0.0046,6.250001,3
beach,9.522,0.0678,1,0,0,0,9.522,9.522,78.292,107.292,0.0678,0.0789,0.1643,0.5391,3.75,1
beach,24.696,0.0678,1,0,0,0,24.696,24.696,111.132,140.132,0.0678,0.0789,0.1643,0.5391,7.916667,1
private,33.892,0.2601,0,0,1,0,33.892,33.892,33.892,58.892,0.0678,0.0503,0.2601,0.5391,1.25,3
charter,42.722,0.4216,0,0,0,1,144.144,144.144,7.722,42.722,0.5333,0.0069,0.0361,0.4216,2.916667,4
private,5.922,0.2413,0,0,1,0,110.544,110.544,5.922,40.922,0.5333,0.4522,0.2413,1.0266,2.083333,3
charter,39.122,0.0058,0,0,0,1,76.944,76.944,4.122,39.122,0.5333,0.4522,0.0156,0.0058,1.25,4
beach,7.722,0.0678,1,0,0,0,7.722,7.722,63.492,92.492,0.0678,0.0789,0.0014,0.0029,2.916667,1
private,9.522,0.1665,0,0,1,0,177.744,177.744,9.522,44.522,0.5333,0.4522,0.1665,0.3975,3.75,3
private,4.122,0.1574,0,0,1,0,17.862,17.862,4.122,28.122,0.1049,0.0451,0.1574,0.4671,1.25,3
charter,51.962,0.2773,0,0,0,1,33.462,33.462,33.462,51.962,0.2537,0.0014,0.0626,0.2773,2.916667,4
private,39.474,0.6817,0,0,1,0,8.514,8.514,39.474,64.474,0.2537,0.1498,0.6817,2.3014,0.4166667,3
charter,89.714,0.6456,0,0,0,1,38.134,38.134,54.714,89.714,0.0678,0.0789,0.0559,0.6456,6.250001,4
private,34.914,0.0897,0,0,1,0,24.334,24.334,34.914,69.914,0.0678,0.0789,0.0897,1.0905,3.75,3
pier,100.674,0.4522,0,1,0,0,100.674,100.674,15.134,50.134,0.5333,0.4522,0.2413,1.0266,2.083333,2
pier,104.214,0.1498,0,1,0,0,104.214,104.214,104.214,122.714,0.2537,0.1498,0.2339,0.6288,12.5,2
charter,59.334,0.0058,0,0,0,1,161.874,161.874,24.334,59.334,0.5333,0.4522,0.0156,0.0058,3.75,4
charter,57.534,0.4671,0,0,0,1,48.114,48.114,33.534,57.534,0.1049,0.0451,0.1574,0.4671,5.416667,4
private,66.32,0.0102,0,0,1,0,64.662,64.662,66.32,101.32,0.0678,0.0789,0.0102,0.0209,6.250001,3
charter,109.32,0.0209,0,0,0,1,72.462,72.462,74.32,109.32,0.0678,0.0789,0.0102,0.0209,7.083332,4
private,111.462,0.0051,0,0,1,0,422.984,422.984,111.462,146.462,0.5333,0.4522,0.0051,1.0266,11.25,3
charter,93.32,0.0209,0,0,0,1,56.862,56.862,58.32,93.32,0.0678,0.0789,0.0102,0.0209,5.416667,4
private,74.32,0.0897,0,0,1,0,72.462,72.462,74.32,109.32,0.0678,0.0789,0.0897,1.0905,7.083332,3
charter,79.24,0.1726,0,0,0,1,210.566,210.566,49.74,79.24,0.0678,0.0052,0.0732,0.1726,6.250001,4
pier,43.74,0.1498,0,1,0,0,43.74,43.74,52.488,70.988,0.2537,0.1498,0.2339,0.6288,5.416667,2
beach,31.74,0.2537,1,0,0,0,31.74,31.74,38.088,56.588,0.2537,0.1498,0.2339,0.6288,3.75,1
beach,19.74,0.2537,1,0,0,0,19.74,19.74,23.688,42.188,0.2537,0.1498,0.2339,0.6288,2.083333,1
pier,31.74,0.1498,0,1,0,0,31.74,31.74,38.088,56.588,0.2537,0.1498,0.2339,0.6288,3.75,2
charter,60.74,0.2377,0,0,0,1,55.77,55.77,25.74,60.74,0.0678,0.0025,0.0108,0.2377,2.916667,4
charter,54.74,0.6456,0,0,0,1,42.77,42.77,19.74,54.74,0.0678,0.0789,0.0559,0.6456,2.083333,4
charter,91.24,0.1726,0,0,0,1,261.366,261.366,61.74,91.24,0.0678,0.0052,0.0732,0.1726,7.916667,4
charter,181.77,0.3975,0,0,0,1,268.702,268.702,146.77,181.77,0.5333,0.4522,0.1665,0.3975,8.750001,4
charter,246.102,2.3014,0,0,0,1,55.74,55.74,221.102,246.102,0.2537,0.1498,0.6817,2.3014,7.083332,4
charter,67.24,0.1726,0,0,0,1,159.766,159.766,37.74,67.24,0.0678,0.0052,0.0732,0.1726,4.583332,4
pier,16.77,0.0789,0,1,0,0,16.77,16.77,32.766,61.766,0.0678,0.0789,0.1643,0.5391,0.4166667,2
private,68.77,0.2413,0,0,1,0,125.902,125.902,68.77,103.77,0.5333,0.4522,0.2413,1.0266,3.75,3
private,58.32,0.0108,0,0,1,0,56.862,56.862,58.32,93.32,0.0678,0.0025,0.0108,0.2377,5.416667,3
charter,61.32,0.2377,0,0,0,1,25.662,25.662,26.32,61.32,0.0678,0.0025,0.0108,0.2377,2.083333,4
charter,47.82,0.1726,0,0,0,1,46.258,46.258,18.32,47.82,0.0678,0.0052,0.0732,0.1726,1.25,4
beach,42.32,0.2537,1,0,0,0,42.32,42.32,42.32,60.82,0.2537,0.1498,0.0233,0.0219,3.75,1
charter,101.32,0.6456,0,0,0,1,64.662,64.662,66.32,101.32,0.0678,0.0789,0.0559,0.6456,6.250001,4
charter,65.262,0.4671,0,0,0,1,42.32,42.32,41.262,65.262,0.1049,0.0451,0.1574,0.4671,3.75,4
private,58.32,0.0233,0,0,1,0,58.32,58.32,58.32,76.82,0.2537,0.1498,0.0233,0.0219,5.416667,3
charter,108.002,0.0209,0,0,0,1,77.234,77.234,73.002,108.002,0.0678,0.0789,0.0102,0.0209,3.75,4
charter,97.634,1.0266,0,0,0,1,150.15,150.15,62.634,97.634,0.5333,0.4522,0.2413,1.0266,2.916667,4
charter,296.552,0.0041,0,0,0,1,135.634,135.634,267.552,296.552,0.0678,0.0789,0.1643,0.0041,7.083332,4
beach,73.002,0.2537,1,0,0,0,73.002,73.002,73.002,91.502,0.2537,0.1498,0.2339,0.6288,3.75,1
private,94.74,0.0897,0,0,1,0,205.27,205.27,94.74,129.74,0.0678,0.0789,0.0897,1.0905,12.5,3
charter,60.74,1.0905,0,0,0,1,55.77,55.77,25.74,60.74,0.0678,0.0789,0.0897,1.0905,2.916667,4
beach,61.74,0.2537,1,0,0,0,61.74,61.74,74.088,92.588,0.2537,0.1498,0.2339,0.6288,7.916667,1
private,55.74,0.0102,0,0,1,0,120.77,120.77,55.74,90.74,0.0678,0.0789,0.0102,0.0209,7.083332,3
charter,102.74,0.0209,0,0,0,1,146.77,146.77,67.74,102.74,0.0678,0.0789,0.0102,0.0209,8.750001,4
pier,55.74,0.1498,0,1,0,0,55.74,55.74,66.888,85.388,0.2537,0.1498,0.2339,0.6288,7.083332,2
charter,61.24,0.1726,0,0,0,1,134.366,134.366,31.74,61.24,0.0678,0.0052,0.0732,0.1726,3.75,4
pier,49.74,0.1498,0,1,0,0,49.74,49.74,59.688,78.188,0.2537,0.1498,0.2339,0.6288,6.250001,2
private,94.74,0.0102,0,0,1,0,205.27,205.27,94.74,129.74,0.0678,0.0789,0.0102,0.0209,12.5,3
private,94.74,0.0108,0,0,1,0,205.27,205.27,94.74,129.74,0.0678,0.0025,0.0108,0.2377,12.5,3
charter,84.74,0.6456,0,0,0,1,107.77,107.77,49.74,84.74,0.0678,0.0789,0.0559,0.6456,6.250001,4
private,61.74,0.0732,0,0,1,0,261.366,261.366,61.74,91.24,0.0678,0.0052,0.0732,0.1726,7.916667,3
private,25.74,0.0143,0,0,1,0,108.966,108.966,25.74,55.24,0.0678,0.0503,0.0143,0.0289,2.916667,3
private,67.74,0.0143,0,0,1,0,286.766,286.766,67.74,97.24,0.0678,0.0503,0.0143,0.0289,8.750001,3
private,205.27,0.0156,0,0,1,0,375.802,375.802,205.27,240.27,0.5333,0.4522,0.0156,0.0058,12.5,3
charter,66.74,0.2377,0,0,0,1,68.77,68.77,31.74,66.74,0.0678,0.0025,0.0108,0.2377,3.75,4
charter,66.74,0.6456,0,0,0,1,68.77,68.77,31.74,66.74,0.0678,0.0789,0.0559,0.6456,3.75,4
charter,52.862,0.4216,0,0,0,1,67.784,67.784,17.862,52.862,0.5333,0.0069,0.0361,0.4216,1.25,4
charter,84.062,1.0266,0,0,0,1,186.184,186.184,49.062,84.062,0.5333,0.4522,0.2413,1.0266,4.583332,4
private,66.32,0.2339,0,0,1,0,66.32,66.32,66.32,84.82,0.2537,0.1498,0.2339,0.6288,6.250001,3
charter,45.062,0.3975,0,0,0,1,38.184,38.184,10.062,45.062,0.5333,0.4522,0.1665,0.3975,0.4166667,4
private,74.32,0.0897,0,0,1,0,72.462,72.462,74.32,109.32,0.0678,0.0789,0.0897,1.0905,7.083332,3
charter,85.32,0.2377,0,0,0,1,49.062,49.062,50.32,85.32,0.0678,0.0025,0.0108,0.2377,4.583332,4
private,94.506,0.2413,0,0,1,0,333.258,333.258,94.506,129.506,0.5333,0.4522,0.2413,1.0266,6.250001,3
charter,84.306,0.0046,0,0,0,1,85.698,85.698,60.306,84.306,0.1049,0.0451,0.0023,0.0046,3.75,4
charter,185.198,0.2773,0,0,0,1,166.698,166.698,166.698,185.198,0.2537,0.0014,0.0626,0.2773,7.916667,4
charter,106.706,0.0058,0,0,0,1,252.858,252.858,71.706,106.706,0.5333,0.4522,0.0156,0.0058,4.583332,4
private,182.898,0.0897,0,0,1,0,128.706,128.706,182.898,217.898,0.0678,0.0789,0.0897,1.0905,8.750001,3
charter,95.306,0.0058,0,0,0,1,212.658,212.658,60.306,95.306,0.5333,0.4522,0.0156,0.0058,3.75,4
charter,95.306,0.0058,0,0,0,1,212.658,212.658,60.306,95.306,0.5333,0.4522,0.0156,0.0058,3.75,4
charter,61.106,0.0058,0,0,0,1,92.058,92.058,26.106,61.106,0.5333,0.4522,0.0156,0.0058,1.25,4
private,63.172,0.0613,0,0,1,0,139.35,139.35,63.172,87.172,0.1049,0.0079,0.0613,0.3087,7.083332,3
private,49.572,0.0613,0,0,1,0,109.35,109.35,49.572,73.572,0.1049,0.0079,0.0613,0.3087,5.416667,3
private,56.372,0.2413,0,0,1,0,323.31,323.31,56.372,91.372,0.5333,0.4522,0.2413,1.0266,6.250001,3
private,71.214,0.0276,0,0,1,0,71.214,71.214,71.214,96.214,0.0678,0.0503,0.0276,0.0029,2.916667,3
private,42.772,0.1574,0,0,1,0,94.35,94.35,42.772,66.772,0.1049,0.0451,0.1574,0.4671,4.583332,3
charter,73.572,0.0046,0,0,0,1,109.35,109.35,49.572,73.572,0.1049,0.0451,0.0023,0.0046,5.416667,4
pier,49.572,0.0789,0,1,0,0,49.572,49.572,121.014,150.014,0.0678,0.0789,0.1643,0.5391,5.416667,2
charter,70.972,1.0266,0,0,0,1,206.31,206.31,35.972,70.972,0.5333,0.4522,0.2413,1.0266,3.75,4
charter,77.772,1.0266,0,0,0,1,245.31,245.31,42.772,77.772,0.5333,0.4522,0.0051,1.0266,4.583332,4
charter,70.972,1.0266,0,0,0,1,206.31,206.31,35.972,70.972,0.5333,0.4522,0.2413,1.0266,3.75,4
charter,192.31,2.3014,0,0,0,1,64.35,64.35,167.31,192.31,0.2537,0.1498,0.6817,2.3014,2.916667,4
beach,42.772,0.0678,1,0,0,0,42.772,42.772,104.414,133.414,0.0678,0.0789,0.1643,0.5391,4.583332,1
charter,91.372,0.4216,0,0,0,1,323.31,323.31,56.372,91.372,0.5333,0.0069,0.0361,0.4216,6.250001,4
beach,15.572,0.0678,1,0,0,0,15.572,15.572,38.014,67.014,0.0678,0.0789,0.1643,0.5391,1.25,1
private,71.214,0.2601,0,0,1,0,71.214,71.214,71.214,96.214,0.0678,0.0503,0.2601,0.5391,2.916667,3
private,94.35,0.0143,0,0,1,0,104.414,104.414,94.35,123.85,0.0678,0.0503,0.0143,0.0289,4.583332,3
beach,124.35,0.2537,1,0,0,0,124.35,124.35,124.35,142.85,0.2537,0.1498,0.2339,0.6288,6.250001,1
charter,129.414,0.5391,0,0,0,1,104.414,104.414,104.414,129.414,0.0678,0.0503,0.2601,0.5391,4.583332,4
private,175.748,0.0233,0,0,1,0,175.748,175.748,175.748,194.248,0.2537,0.1498,0.0233,0.0219,6.250001,3
private,72.9,0.0361,0,0,1,0,335.34,335.34,72.9,107.9,0.5333,0.0069,0.0361,0.4216,5.416667,3
charter,87.9,0.0058,0,0,0,1,243.34,243.34,52.9,87.9,0.5333,0.4522,0.0156,0.0058,3.75,4
beach,22.372,0.0678,1,0,0,0,22.372,22.372,54.614,83.614,0.0678,0.0789,0.1643,0.5391,2.083333,1
charter,70.972,0.4216,0,0,0,1,206.31,206.31,35.972,70.972,0.5333,0.0069,0.0361,0.4216,3.75,4
charter,99.35,1.0905,0,0,0,1,29.172,29.172,64.35,99.35,0.0678,0.0789,0.0897,1.0905,2.916667,4
private,56.372,0.0051,0,0,1,0,323.31,323.31,56.372,91.372,0.5333,0.4522,0.0051,1.0266,6.250001,3
charter,114.35,0.6456,0,0,0,1,35.972,35.972,79.35,114.35,0.0678,0.0789,0.0559,0.6456,3.75,4
private,63.172,0.2413,0,0,1,0,362.31,362.31,63.172,98.172,0.5333,0.4522,0.2413,1.0266,7.083332,3
charter,93.85,0.324,0,0,0,1,71.214,71.214,64.35,93.85,0.0678,0.0503,0.1082,0.324,2.916667,4
beach,49.572,0.0678,1,0,0,0,49.572,49.572,121.014,150.014,0.0678,0.0789,0.1643,0.5391,5.416667,1
charter,67.604,1.0266,0,0,0,1,151.008,151.008,32.604,67.604,0.5333,0.4522,0.2413,1.0266,2.916667,4
charter,75.204,1.0266,0,0,0,1,186.208,186.208,40.204,75.204,0.5333,0.4522,0.2413,1.0266,3.75,4
private,26.106,0.0361,0,0,1,0,92.058,92.058,26.106,61.106,0.5333,0.0069,0.0361,0.4216,1.25,3
private,57.904,0.0014,0,0,1,0,37.506,37.506,57.904,86.904,0.0678,0.0789,0.0014,0.0029,2.083333,3
charter,72.506,1.0266,0,0,0,1,132.258,132.258,37.506,72.506,0.5333,0.4522,0.2413,1.0266,2.083333,4
charter,106.706,0.4216,0,0,0,1,252.858,252.858,71.706,106.706,0.5333,0.0069,0.0361,0.4216,4.583332,4
private,71.706,0.0361,0,0,1,0,252.858,252.858,71.706,106.706,0.5333,0.0069,0.0361,0.4216,4.583332,3
beach,34.914,0.2537,1,0,0,0,34.914,34.914,34.914,53.414,0.2537,0.1498,0.2339,0.6288,3.75,1
charter,127.848,0.0209,0,0,0,1,63.004,63.004,92.848,127.848,0.0678,0.0789,0.0102,0.0209,6.250001,4
charter,117.404,0.3087,0,0,0,1,137.648,137.648,93.404,117.404,0.1049,0.0079,0.0613,0.3087,9.583336,4
charter,82.804,1.0266,0,0,0,1,221.408,221.408,47.804,82.804,0.5333,0.4522,0.0051,1.0266,4.583332,4
private,35.972,0.1665,0,0,1,0,206.31,206.31,35.972,70.972,0.5333,0.4522,0.1665,0.3975,3.75,3
pier,21.714,0.1498,0,1,0,0,21.714,21.714,21.714,40.214,0.2537,0.1498,0.2339,0.6288,2.083333,2
charter,50.114,0.0209,0,0,0,1,10.534,10.534,15.114,50.114,0.0678,0.0789,0.0102,0.0209,1.25,4
charter,70.972,1.0266,0,0,0,1,206.31,206.31,35.972,70.972,0.5333,0.4522,0.2413,1.0266,3.75,4
charter,106.706,0.3975,0,0,0,1,252.858,252.858,71.706,106.706,0.5333,0.4522,0.1665,0.3975,4.583332,4
pier,75.504,0.0503,0,1,0,0,75.504,75.504,75.504,100.504,0.0678,0.0503,0.2601,0.5391,2.916667,2
charter,72.098,0.2377,0,0,0,1,26.106,26.106,37.098,72.098,0.0678,0.0025,0.0108,0.2377,1.25,4
charter,50.398,0.1176,0,0,0,1,22.704,22.704,20.898,50.398,0.0678,0.0503,0.0016,0.1176,0.4166667,4
private,101.898,0.0559,0,0,1,0,71.706,71.706,101.898,136.898,0.0678,0.0789,0.0559,0.6456,4.583332,3
beach,117.306,0.0678,1,0,0,0,117.306,117.306,181.104,210.104,0.0678,0.0789,0.1643,0.5391,7.916667,1
charter,163.706,0.4216,0,0,0,1,453.858,453.858,128.706,163.706,0.5333,0.0069,0.0361,0.4216,8.750001,4
pier,26.106,0.0025,0,1,0,0,26.106,26.106,40.304,69.304,0.0678,0.0025,0.0499,0.2421,1.25,2
charter,72.506,1.0266,0,0,0,1,132.258,132.258,37.506,72.506,0.5333,0.4522,0.2413,1.0266,2.083333,4
private,69.498,0.2339,0,0,1,0,69.498,69.498,69.498,87.998,0.2537,0.1498,0.2339,0.6288,2.916667,3
private,48.906,0.0023,0,0,1,0,69.498,69.498,48.906,72.906,0.1049,0.0451,0.0023,0.0046,2.916667,3
private,47.804,0.1574,0,0,1,0,70.448,70.448,47.804,71.804,0.1049,0.0451,0.1574,0.4671,4.583332,3
charter,141.64,0.0029,0,0,0,1,116.64,116.64,116.64,141.64,0.0678,0.0503,0.0276,0.0029,5.416667,4
pier,47.804,0.0789,0,1,0,0,47.804,47.804,100.64,129.64,0.0678,0.0789,0.0014,0.0029,4.583332,2
charter,52.404,1.0266,0,0,0,1,80.608,80.608,17.404,52.404,0.5333,0.4522,0.2413,1.0266,1.25,4
charter,387.208,2.3014,0,0,0,1,115.248,115.248,362.208,387.208,0.2537,0.1498,0.6817,2.3014,7.916667,4
charter,98.004,0.0058,0,0,0,1,291.808,291.808,63.004,98.004,0.5333,0.4522,0.0156,0.0058,6.250001,4
pier,32.604,0.0789,0,1,0,0,32.604,32.604,68.64,97.64,0.0678,0.0789,0.1643,0.5391,2.916667,2
charter,61.64,0.2421,0,0,0,1,36.64,36.64,36.64,61.64,0.0678,0.0052,0.1491,0.2421,1.25,4
charter,40.934,1.0266,0,0,0,1,39.474,39.474,5.934,40.934,0.5333,0.4522,0.2413,1.0266,0.4166667,4
beach,120.004,0.0678,1,0,0,0,120.004,120.004,252.64,281.64,0.0678,0.0789,0.1643,0.5391,12.5,1
charter,50.134,0.0058,0,0,0,1,100.674,100.674,15.134,50.134,0.5333,0.4522,0.0156,0.0058,2.083333,4
charter,68.534,0.0058,0,0,0,1,223.074,223.074,33.534,68.534,0.5333,0.4522,0.0156,0.0058,5.416667,4
charter,59.334,0.0058,0,0,0,1,161.874,161.874,24.334,59.334,0.5333,0.4522,0.0156,0.0058,3.75,4
charter,163.706,1.0266,0,0,0,1,453.858,453.858,128.706,163.706,0.5333,0.4522,0.2413,1.0266,8.750001,4
